t,Vs
3440,3335
3444,0
3448,3877
3452,1009
3456,1600
3460,3333
3464,0
3468,3879
3472,998
3476,1610
3480,3334
3484,0
3488,3871
3492,1008
3496,1601
3500,3334
3504,0
3508,3879
3512,1008
3516,1605
3520,3327
3524,0
3528,3879
3532,994
3536,1600
3540,3335
3544,0
3548,3875
3552,994
3556,1600
3560,3327
3564,0
3568,3871
3572,997
3576,1603
3580,3335
3584,0
3588,3889
3592,1000
3596,1607
3600,3339
3604,0
3608,3879
3612,995
3616,1605
3620,3341
3624,0
3628,3871
3632,996
3636,1601
3640,3333
3644,0
3648,3879
3652,1008
3656,1603
3660,3331
3664,0
3668,3874
3672,1010
3676,1599
3680,3338
3684,0
3688,3871
3692,1009
3696,1603
3700,3327
3704,0
3708,3877
3712,1010
3716,1595
3720,3335
3724,0
3728,3879
3732,1002
3736,1605
3740,3333
3744,0
3748,3879
3752,994
3756,1607
3760,3331
3764,0
3768,3879
3772,1013
3776,1600
3780,3327
3784,0
3788,3882
3792,997
3796,1598
3800,3341
3804,0
3808,3871
3812,995
3816,1601
3820,3335
3824,0
3828,3879
3832,994
3836,1607
3840,3339
3844,0
3848,3879
3852,992
3856,1602
3860,3335
3864,0
3868,3871
3872,995
3876,1600
3880,3335
3884,0
3888,3871
3892,997
3896,1605
3900,3335
3904,0
3908,3871
3912,1008
3916,1600
3920,3339
3924,0
3928,3871
3932,1011
3936,1600
3940,3334
3944,0
3948,3871
3952,1000
3956,1603
3960,3335
3964,0
3968,3871
3972,1006
3976,1601
3980,3331
3984,0
3988,3883
3992,1009
3996,1602
